Strategy,Quarter,Initial_Investment,Quarterly_Investment,Total Shares,Total_Investment,Projected_Balance
Safe,Q1,"$1,000.00",$300.00,4.95,"$1,300.00","$1,301.29"
Safe,Q2,"$1,000.00",$300.00,6.10,"$1,600.00","$1,602.89"
Safe,Q3,"$1,000.00",$300.00,7.25,"$1,900.00","$1,904.82"
Safe,Q4,"$1,000.00",$300.00,8.40,"$2,200.00","$2,207.08"
Safe,Q5,"$1,000.00",$300.00,9.55,"$2,500.00","$2,509.69"
Safe,Q6,"$1,000.00",$300.00,10.70,"$2,800.00","$2,812.64"
Safe,Q7,"$1,000.00",$300.00,11.86,"$3,100.00","$3,115.95"
Safe,Q8,"$1,000.00",$300.00,13.01,"$3,400.00","$3,419.63"
Safe,Q9,"$1,000.00",$300.00,14.17,"$3,700.00","$3,723.69"
Safe,Q10,"$1,000.00",$300.00,15.33,"$4,000.00","$4,028.13"
Safe,Q11,"$1,000.00",$300.00,16.49,"$4,300.00","$4,332.97"
Safe,Q12,"$1,000.00",$300.00,17.65,"$4,600.00","$4,638.21"
Moderate,Q1,"$2,500.00",$600.00,11.81,"$3,100.00","$3,103.07"
Moderate,Q2,"$2,500.00",$600.00,14.10,"$3,700.00","$3,706.78"
Moderate,Q3,"$2,500.00",$600.00,16.40,"$4,300.00","$4,311.14"
Moderate,Q4,"$2,500.00",$600.00,18.71,"$4,900.00","$4,916.18"
Moderate,Q5,"$2,500.00",$600.00,21.01,"$5,500.00","$5,521.91"
Moderate,Q6,"$2,500.00",$600.00,23.32,"$6,100.00","$6,128.35"
Moderate,Q7,"$2,500.00",$600.00,25.63,"$6,700.00","$6,735.51"
Moderate,Q8,"$2,500.00",$600.00,27.94,"$7,300.00","$7,343.41"
Moderate,Q9,"$2,500.00",$600.00,30.26,"$7,900.00","$7,952.08"
Moderate,Q10,"$2,500.00",$600.00,32.58,"$8,500.00","$8,561.52"
Moderate,Q11,"$2,500.00",$600.00,34.90,"$9,100.00","$9,171.76"
Moderate,Q12,"$2,500.00",$600.00,37.22,"$9,700.00","$9,782.81"
Growth,Q1,"$3,500.00","$1,050.00",17.33,"$4,550.00","$4,554.50"
Growth,Q2,"$3,500.00","$1,050.00",21.35,"$5,600.00","$5,610.11"
Growth,Q3,"$3,500.00","$1,050.00",25.37,"$6,650.00","$6,666.86"
Growth,Q4,"$3,500.00","$1,050.00",29.39,"$7,700.00","$7,724.78"
Growth,Q5,"$3,500.00","$1,050.00",33.42,"$8,750.00","$8,783.90"
Growth,Q6,"$3,500.00","$1,050.00",37.46,"$9,800.00","$9,844.24"
Growth,Q7,"$3,500.00","$1,050.00",41.50,"$10,850.00","$10,905.83"
Growth,Q8,"$3,500.00","$1,050.00",45.54,"$11,900.00","$11,968.72"
Growth,Q9,"$3,500.00","$1,050.00",49.59,"$12,950.00","$13,032.91"
Growth,Q10,"$3,500.00","$1,050.00",53.64,"$14,000.00","$14,098.46"
Growth,Q11,"$3,500.00","$1,050.00",57.70,"$15,050.00","$15,165.39"
Growth,Q12,"$3,500.00","$1,050.00",61.77,"$16,100.00","$16,233.74"
Aggressive,Q1,"$5,000.00","$1,500.00",24.76,"$6,500.00","$6,506.43"
Aggressive,Q2,"$5,000.00","$1,500.00",30.49,"$8,000.00","$8,014.45"
Aggressive,Q3,"$5,000.00","$1,500.00",36.24,"$9,500.00","$9,524.09"
Aggressive,Q4,"$5,000.00","$1,500.00",41.99,"$11,000.00","$11,035.41"
Aggressive,Q5,"$5,000.00","$1,500.00",47.75,"$12,500.00","$12,548.43"
Aggressive,Q6,"$5,000.00","$1,500.00",53.51,"$14,000.00","$14,063.20"
Aggressive,Q7,"$5,000.00","$1,500.00",59.28,"$15,500.00","$15,579.76"
Aggressive,Q8,"$5,000.00","$1,500.00",65.06,"$17,000.00","$17,098.17"
Aggressive,Q9,"$5,000.00","$1,500.00",70.84,"$18,500.00","$18,618.45"
Aggressive,Q10,"$5,000.00","$1,500.00",76.63,"$20,000.00","$20,140.66"
Aggressive,Q11,"$5,000.00","$1,500.00",82.43,"$21,500.00","$21,664.85"
Aggressive,Q12,"$5,000.00","$1,500.00",88.24,"$23,000.00","$23,191.05"
