Strategy,Quarter,Initial_Investment,Quarterly_Investment,Total Shares,Total_Investment,Projected_Balance
Safe,Q1,"$1,000.00",$300.00,2.09,"$1,300.00","$1,302.84"
Safe,Q2,"$1,000.00",$300.00,2.58,"$1,600.00","$1,606.38"
Safe,Q3,"$1,000.00",$300.00,3.07,"$1,900.00","$1,910.65"
Safe,Q4,"$1,000.00",$300.00,3.56,"$2,200.00","$2,215.65"
Safe,Q5,"$1,000.00",$300.00,4.05,"$2,500.00","$2,521.42"
Safe,Q6,"$1,000.00",$300.00,4.54,"$2,800.00","$2,827.97"
Safe,Q7,"$1,000.00",$300.00,5.04,"$3,100.00","$3,135.32"
Safe,Q8,"$1,000.00",$300.00,5.53,"$3,400.00","$3,443.48"
Safe,Q9,"$1,000.00",$300.00,6.03,"$3,700.00","$3,752.50"
Safe,Q10,"$1,000.00",$300.00,6.53,"$4,000.00","$4,062.37"
Safe,Q11,"$1,000.00",$300.00,7.02,"$4,300.00","$4,373.13"
Safe,Q12,"$1,000.00",$300.00,7.53,"$4,600.00","$4,684.80"
Moderate,Q1,"$2,500.00",$600.00,4.99,"$3,100.00","$3,106.77"
Moderate,Q2,"$2,500.00",$600.00,5.97,"$3,700.00","$3,714.96"
Moderate,Q3,"$2,500.00",$600.00,6.95,"$4,300.00","$4,324.61"
Moderate,Q4,"$2,500.00",$600.00,7.93,"$4,900.00","$4,935.77"
Moderate,Q5,"$2,500.00",$600.00,8.91,"$5,500.00","$5,548.46"
Moderate,Q6,"$2,500.00",$600.00,9.90,"$6,100.00","$6,162.73"
Moderate,Q7,"$2,500.00",$600.00,10.89,"$6,700.00","$6,778.61"
Moderate,Q8,"$2,500.00",$600.00,11.88,"$7,300.00","$7,396.16"
Moderate,Q9,"$2,500.00",$600.00,12.88,"$7,900.00","$8,015.41"
Moderate,Q10,"$2,500.00",$600.00,13.87,"$8,500.00","$8,636.40"
Moderate,Q11,"$2,500.00",$600.00,14.87,"$9,100.00","$9,259.18"
Moderate,Q12,"$2,500.00",$600.00,15.88,"$9,700.00","$9,883.80"
Growth,Q1,"$3,500.00","$1,050.00",7.32,"$4,550.00","$4,559.93"
Growth,Q2,"$3,500.00","$1,050.00",9.03,"$5,600.00","$5,622.33"
Growth,Q3,"$3,500.00","$1,050.00",10.74,"$6,650.00","$6,687.26"
Growth,Q4,"$3,500.00","$1,050.00",12.46,"$7,700.00","$7,754.78"
Growth,Q5,"$3,500.00","$1,050.00",14.18,"$8,750.00","$8,824.97"
Growth,Q6,"$3,500.00","$1,050.00",15.90,"$9,800.00","$9,897.89"
Growth,Q7,"$3,500.00","$1,050.00",17.63,"$10,850.00","$10,973.60"
Growth,Q8,"$3,500.00","$1,050.00",19.36,"$11,900.00","$12,052.20"
Growth,Q9,"$3,500.00","$1,050.00",21.10,"$12,950.00","$13,133.73"
Growth,Q10,"$3,500.00","$1,050.00",22.84,"$14,000.00","$14,218.30"
Growth,Q11,"$3,500.00","$1,050.00",24.59,"$15,050.00","$15,305.96"
Growth,Q12,"$3,500.00","$1,050.00",26.34,"$16,100.00","$16,396.80"
Aggressive,Q1,"$5,000.00","$1,500.00",10.46,"$6,500.00","$6,514.19"
Aggressive,Q2,"$5,000.00","$1,500.00",12.90,"$8,000.00","$8,031.90"
Aggressive,Q3,"$5,000.00","$1,500.00",15.35,"$9,500.00","$9,553.23"
Aggressive,Q4,"$5,000.00","$1,500.00",17.79,"$11,000.00","$11,078.26"
Aggressive,Q5,"$5,000.00","$1,500.00",20.25,"$12,500.00","$12,607.10"
Aggressive,Q6,"$5,000.00","$1,500.00",22.71,"$14,000.00","$14,139.84"
Aggressive,Q7,"$5,000.00","$1,500.00",25.18,"$15,500.00","$15,676.58"
Aggressive,Q8,"$5,000.00","$1,500.00",27.66,"$17,000.00","$17,217.42"
Aggressive,Q9,"$5,000.00","$1,500.00",30.14,"$18,500.00","$18,762.48"
Aggressive,Q10,"$5,000.00","$1,500.00",32.63,"$20,000.00","$20,311.85"
Aggressive,Q11,"$5,000.00","$1,500.00",35.12,"$21,500.00","$21,865.65"
Aggressive,Q12,"$5,000.00","$1,500.00",37.63,"$23,000.00","$23,423.99"
