Strategy,Quarter,Initial_Investment,Quarterly_Investment,Total Shares,Total_Investment,Projected_Balance
Safe,Q1,"$1,000.00",$300.00,3.90,"$1,300.00","$1,302.73"
Safe,Q2,"$1,000.00",$300.00,4.81,"$1,600.00","$1,606.13"
Safe,Q3,"$1,000.00",$300.00,5.72,"$1,900.00","$1,910.23"
Safe,Q4,"$1,000.00",$300.00,6.64,"$2,200.00","$2,215.05"
Safe,Q5,"$1,000.00",$300.00,7.55,"$2,500.00","$2,520.59"
Safe,Q6,"$1,000.00",$300.00,8.47,"$2,800.00","$2,826.88"
Safe,Q7,"$1,000.00",$300.00,9.39,"$3,100.00","$3,133.95"
Safe,Q8,"$1,000.00",$300.00,10.31,"$3,400.00","$3,441.80"
Safe,Q9,"$1,000.00",$300.00,11.24,"$3,700.00","$3,750.46"
Safe,Q10,"$1,000.00",$300.00,12.17,"$4,000.00","$4,059.94"
Safe,Q11,"$1,000.00",$300.00,13.10,"$4,300.00","$4,370.28"
Safe,Q12,"$1,000.00",$300.00,14.03,"$4,600.00","$4,681.50"
Moderate,Q1,"$2,500.00",$600.00,9.31,"$3,100.00","$3,106.51"
Moderate,Q2,"$2,500.00",$600.00,11.13,"$3,700.00","$3,714.38"
Moderate,Q3,"$2,500.00",$600.00,12.96,"$4,300.00","$4,323.66"
Moderate,Q4,"$2,500.00",$600.00,14.79,"$4,900.00","$4,934.38"
Moderate,Q5,"$2,500.00",$600.00,16.62,"$5,500.00","$5,546.58"
Moderate,Q6,"$2,500.00",$600.00,18.46,"$6,100.00","$6,160.30"
Moderate,Q7,"$2,500.00",$600.00,20.30,"$6,700.00","$6,775.56"
Moderate,Q8,"$2,500.00",$600.00,22.15,"$7,300.00","$7,392.43"
Moderate,Q9,"$2,500.00",$600.00,24.01,"$7,900.00","$8,010.92"
Moderate,Q10,"$2,500.00",$600.00,25.86,"$8,500.00","$8,631.10"
Moderate,Q11,"$2,500.00",$600.00,27.73,"$9,100.00","$9,252.99"
Moderate,Q12,"$2,500.00",$600.00,29.60,"$9,700.00","$9,876.64"
Growth,Q1,"$3,500.00","$1,050.00",13.66,"$4,550.00","$4,559.55"
Growth,Q2,"$3,500.00","$1,050.00",16.85,"$5,600.00","$5,621.47"
Growth,Q3,"$3,500.00","$1,050.00",20.03,"$6,650.00","$6,685.82"
Growth,Q4,"$3,500.00","$1,050.00",23.23,"$7,700.00","$7,752.66"
Growth,Q5,"$3,500.00","$1,050.00",26.44,"$8,750.00","$8,822.07"
Growth,Q6,"$3,500.00","$1,050.00",29.65,"$9,800.00","$9,894.09"
Growth,Q7,"$3,500.00","$1,050.00",32.87,"$10,850.00","$10,968.81"
Growth,Q8,"$3,500.00","$1,050.00",36.10,"$11,900.00","$12,046.29"
Growth,Q9,"$3,500.00","$1,050.00",39.34,"$12,950.00","$13,126.60"
Growth,Q10,"$3,500.00","$1,050.00",42.58,"$14,000.00","$14,209.81"
Growth,Q11,"$3,500.00","$1,050.00",45.84,"$15,050.00","$15,296.00"
Growth,Q12,"$3,500.00","$1,050.00",49.10,"$16,100.00","$16,385.23"
Aggressive,Q1,"$5,000.00","$1,500.00",19.52,"$6,500.00","$6,513.64"
Aggressive,Q2,"$5,000.00","$1,500.00",24.06,"$8,000.00","$8,030.67"
Aggressive,Q3,"$5,000.00","$1,500.00",28.62,"$9,500.00","$9,551.17"
Aggressive,Q4,"$5,000.00","$1,500.00",33.19,"$11,000.00","$11,075.24"
Aggressive,Q5,"$5,000.00","$1,500.00",37.77,"$12,500.00","$12,602.95"
Aggressive,Q6,"$5,000.00","$1,500.00",42.36,"$14,000.00","$14,134.42"
Aggressive,Q7,"$5,000.00","$1,500.00",46.96,"$15,500.00","$15,669.73"
Aggressive,Q8,"$5,000.00","$1,500.00",51.57,"$17,000.00","$17,208.98"
Aggressive,Q9,"$5,000.00","$1,500.00",56.19,"$18,500.00","$18,752.28"
Aggressive,Q10,"$5,000.00","$1,500.00",60.83,"$20,000.00","$20,299.72"
Aggressive,Q11,"$5,000.00","$1,500.00",65.48,"$21,500.00","$21,851.42"
Aggressive,Q12,"$5,000.00","$1,500.00",70.14,"$23,000.00","$23,407.48"
