Strategy,Quarter,Initial_Investment,Quarterly_Investment,Total Shares,Total_Investment,Projected_Balance
Safe,Q1,"$1,000.00",$300.00,17.46,"$1,300.00","$1,309.02"
Safe,Q2,"$1,000.00",$300.00,21.61,"$1,600.00","$1,620.31"
Safe,Q3,"$1,000.00",$300.00,25.80,"$1,900.00","$1,933.96"
Safe,Q4,"$1,000.00",$300.00,30.01,"$2,200.00","$2,250.04"
Safe,Q5,"$1,000.00",$300.00,34.26,"$2,500.00","$2,568.61"
Safe,Q6,"$1,000.00",$300.00,38.55,"$2,800.00","$2,889.76"
Safe,Q7,"$1,000.00",$300.00,42.86,"$3,100.00","$3,213.56"
Safe,Q8,"$1,000.00",$300.00,47.22,"$3,400.00","$3,540.10"
Safe,Q9,"$1,000.00",$300.00,51.61,"$3,700.00","$3,869.47"
Safe,Q10,"$1,000.00",$300.00,56.05,"$4,000.00","$4,201.74"
Safe,Q11,"$1,000.00",$300.00,60.52,"$4,300.00","$4,537.02"
Safe,Q12,"$1,000.00",$300.00,65.03,"$4,600.00","$4,875.39"
Moderate,Q1,"$2,500.00",$600.00,41.64,"$3,100.00","$3,121.50"
Moderate,Q2,"$2,500.00",$600.00,49.99,"$3,700.00","$3,747.63"
Moderate,Q3,"$2,500.00",$600.00,58.40,"$4,300.00","$4,378.53"
Moderate,Q4,"$2,500.00",$600.00,66.88,"$4,900.00","$5,014.35"
Moderate,Q5,"$2,500.00",$600.00,75.43,"$5,500.00","$5,655.24"
Moderate,Q6,"$2,500.00",$600.00,84.05,"$6,100.00","$6,301.35"
Moderate,Q7,"$2,500.00",$600.00,92.74,"$6,700.00","$6,952.86"
Moderate,Q8,"$2,500.00",$600.00,101.51,"$7,300.00","$7,609.91"
Moderate,Q9,"$2,500.00",$600.00,110.35,"$7,900.00","$8,272.70"
Moderate,Q10,"$2,500.00",$600.00,119.27,"$8,500.00","$8,941.38"
Moderate,Q11,"$2,500.00",$600.00,128.27,"$9,100.00","$9,616.14"
Moderate,Q12,"$2,500.00",$600.00,137.35,"$9,700.00","$10,297.18"
Growth,Q1,"$3,500.00","$1,050.00",61.11,"$4,550.00","$4,581.56"
Growth,Q2,"$3,500.00","$1,050.00",75.64,"$5,600.00","$5,671.10"
Growth,Q3,"$3,500.00","$1,050.00",90.29,"$6,650.00","$6,768.87"
Growth,Q4,"$3,500.00","$1,050.00",105.04,"$7,700.00","$7,875.12"
Growth,Q5,"$3,500.00","$1,050.00",119.92,"$8,750.00","$8,990.12"
Growth,Q6,"$3,500.00","$1,050.00",134.91,"$9,800.00","$10,114.14"
Growth,Q7,"$3,500.00","$1,050.00",150.03,"$10,850.00","$11,247.46"
Growth,Q8,"$3,500.00","$1,050.00",165.27,"$11,900.00","$12,390.36"
Growth,Q9,"$3,500.00","$1,050.00",180.65,"$12,950.00","$13,543.14"
Growth,Q10,"$3,500.00","$1,050.00",196.16,"$14,000.00","$14,706.10"
Growth,Q11,"$3,500.00","$1,050.00",211.81,"$15,050.00","$15,879.56"
Growth,Q12,"$3,500.00","$1,050.00",227.61,"$16,100.00","$17,063.85"
Aggressive,Q1,"$5,000.00","$1,500.00",87.30,"$6,500.00","$6,545.08"
Aggressive,Q2,"$5,000.00","$1,500.00",108.06,"$8,000.00","$8,101.57"
Aggressive,Q3,"$5,000.00","$1,500.00",128.98,"$9,500.00","$9,669.81"
Aggressive,Q4,"$5,000.00","$1,500.00",150.06,"$11,000.00","$11,250.18"
Aggressive,Q5,"$5,000.00","$1,500.00",171.31,"$12,500.00","$12,843.03"
Aggressive,Q6,"$5,000.00","$1,500.00",192.73,"$14,000.00","$14,448.78"
Aggressive,Q7,"$5,000.00","$1,500.00",214.32,"$15,500.00","$16,067.80"
Aggressive,Q8,"$5,000.00","$1,500.00",236.10,"$17,000.00","$17,700.51"
Aggressive,Q9,"$5,000.00","$1,500.00",258.07,"$18,500.00","$19,347.34"
Aggressive,Q10,"$5,000.00","$1,500.00",280.23,"$20,000.00","$21,008.72"
Aggressive,Q11,"$5,000.00","$1,500.00",302.59,"$21,500.00","$22,685.09"
Aggressive,Q12,"$5,000.00","$1,500.00",325.16,"$23,000.00","$24,376.93"
