Strategy,Quarter,Initial_Investment,Quarterly_Investment,Total Shares,Total_Investment,Projected_Balance
Safe,Q1,"$1,000.00",$300.00,34.08,"$1,300.00","$1,323.11"
Safe,Q2,"$1,000.00",$300.00,42.56,"$1,600.00","$1,652.31"
Safe,Q3,"$1,000.00",$300.00,51.21,"$1,900.00","$1,987.87"
Safe,Q4,"$1,000.00",$300.00,60.02,"$2,200.00","$2,330.05"
Safe,Q5,"$1,000.00",$300.00,69.01,"$2,500.00","$2,679.13"
Safe,Q6,"$1,000.00",$300.00,78.19,"$2,800.00","$3,035.42"
Safe,Q7,"$1,000.00",$300.00,87.56,"$3,100.00","$3,399.20"
Safe,Q8,"$1,000.00",$300.00,97.14,"$3,400.00","$3,770.81"
Safe,Q9,"$1,000.00",$300.00,106.92,"$3,700.00","$4,150.59"
Safe,Q10,"$1,000.00",$300.00,116.92,"$4,000.00","$4,538.87"
Safe,Q11,"$1,000.00",$300.00,127.15,"$4,300.00","$4,936.04"
Safe,Q12,"$1,000.00",$300.00,137.62,"$4,600.00","$5,342.47"
Moderate,Q1,"$2,500.00",$600.00,81.28,"$3,100.00","$3,155.10"
Moderate,Q2,"$2,500.00",$600.00,98.47,"$3,700.00","$3,822.66"
Moderate,Q3,"$2,500.00",$600.00,116.00,"$4,300.00","$4,503.22"
Moderate,Q4,"$2,500.00",$600.00,133.88,"$4,900.00","$5,197.30"
Moderate,Q5,"$2,500.00",$600.00,152.13,"$5,500.00","$5,905.50"
Moderate,Q6,"$2,500.00",$600.00,170.75,"$6,100.00","$6,628.40"
Moderate,Q7,"$2,500.00",$600.00,189.76,"$6,700.00","$7,366.64"
Moderate,Q8,"$2,500.00",$600.00,209.19,"$7,300.00","$8,120.86"
Moderate,Q9,"$2,500.00",$600.00,229.05,"$7,900.00","$8,891.75"
Moderate,Q10,"$2,500.00",$600.00,249.36,"$8,500.00","$9,680.04"
Moderate,Q11,"$2,500.00",$600.00,270.13,"$9,100.00","$10,486.46"
Moderate,Q12,"$2,500.00",$600.00,291.39,"$9,700.00","$11,311.81"
Growth,Q1,"$3,500.00","$1,050.00",119.29,"$4,550.00","$4,630.87"
Growth,Q2,"$3,500.00","$1,050.00",148.97,"$5,600.00","$5,783.09"
Growth,Q3,"$3,500.00","$1,050.00",179.23,"$6,650.00","$6,957.54"
Growth,Q4,"$3,500.00","$1,050.00",210.08,"$7,700.00","$8,155.17"
Growth,Q5,"$3,500.00","$1,050.00",241.55,"$8,750.00","$9,376.97"
Growth,Q6,"$3,500.00","$1,050.00",273.67,"$9,800.00","$10,623.96"
Growth,Q7,"$3,500.00","$1,050.00",306.47,"$10,850.00","$11,897.21"
Growth,Q8,"$3,500.00","$1,050.00",339.98,"$11,900.00","$13,197.85"
Growth,Q9,"$3,500.00","$1,050.00",374.22,"$12,950.00","$14,527.05"
Growth,Q10,"$3,500.00","$1,050.00",409.22,"$14,000.00","$15,886.05"
Growth,Q11,"$3,500.00","$1,050.00",445.03,"$15,050.00","$17,276.13"
Growth,Q12,"$3,500.00","$1,050.00",481.68,"$16,100.00","$18,698.64"
Aggressive,Q1,"$5,000.00","$1,500.00",170.42,"$6,500.00","$6,615.53"
Aggressive,Q2,"$5,000.00","$1,500.00",212.82,"$8,000.00","$8,261.55"
Aggressive,Q3,"$5,000.00","$1,500.00",256.04,"$9,500.00","$9,939.34"
Aggressive,Q4,"$5,000.00","$1,500.00",300.11,"$11,000.00","$11,650.25"
Aggressive,Q5,"$5,000.00","$1,500.00",345.07,"$12,500.00","$13,395.67"
Aggressive,Q6,"$5,000.00","$1,500.00",390.96,"$14,000.00","$15,177.08"
Aggressive,Q7,"$5,000.00","$1,500.00",437.82,"$15,500.00","$16,996.01"
Aggressive,Q8,"$5,000.00","$1,500.00",485.68,"$17,000.00","$18,854.07"
Aggressive,Q9,"$5,000.00","$1,500.00",534.59,"$18,500.00","$20,752.93"
Aggressive,Q10,"$5,000.00","$1,500.00",584.60,"$20,000.00","$22,694.36"
Aggressive,Q11,"$5,000.00","$1,500.00",635.76,"$21,500.00","$24,680.18"
Aggressive,Q12,"$5,000.00","$1,500.00",688.11,"$23,000.00","$26,712.34"
