Category,Field,YFinance,MASSIVE,FinViz,StockAnalysis,Alpha Vantage,Priority
Identity &amp; Classification,ticker,Yes,Yes,Yes,Yes,,Any
Identity &amp; Classification,company_name,Yes,Yes,Yes,Yes,,YFinance (1.0)
Identity &amp; Classification,sector,Yes,Yes,Yes,Yes,,YFinance (1.0)
Identity &amp; Classification,industry,Yes,Yes,Yes,Yes,,YFinance (1.0)
Identity &amp; Classification,country,Yes,Yes,Yes,Yes,,YFinance (1.0)
Identity &amp; Classification,exchange,Yes,Yes,Yes,Yes,,YFinance (1.0)
Identity &amp; Classification,index_membership,No,No,Yes,No,,FinViz (1.0)
Identity &amp; Classification,cik,No,Yes,No,No,,MASSIVE (1.0)
Identity &amp; Classification,figi,No,Yes,No,No,,MASSIVE (1.0)
Identity &amp; Classification,lei,No,Yes,No,No,,MASSIVE (1.0)
Identity &amp; Classification,sic_code,No,Yes,No,No,,MASSIVE (1.0)
Identity &amp; Classification,employees,Yes,Yes,Yes,Yes,,YFinance (1.0)
Identity &amp; Classification,ipo_date,No,Yes,Yes,No,,MASSIVE (1.0)
Identity &amp; Classification,website,Yes,Yes,No,Yes,,YFinance (1.0)
Identity &amp; Classification,description,Yes,Yes,No,Yes,,YFinance (1.0)
Identity &amp; Classification,logo_url,No,Yes,No,No,,MASSIVE (1.0)
Identity &amp; Classification,icon_url,No,Yes,No,No,,MASSIVE (1.0)
Price &amp; Volume,price,Yes (RT),No,Yes (15min),No,,YFinance (1.0)
Price &amp; Volume,open,Yes,No,Yes,No,,YFinance (1.0)
Price &amp; Volume,high,Yes,No,Yes,No,,YFinance (1.0)
Price &amp; Volume,low,Yes,No,Yes,No,,YFinance (1.0)
Price &amp; Volume,close,Yes,No,Yes,No,,YFinance (1.0)
Price &amp; Volume,previous_close,Yes,No,Yes,No,,YFinance (1.0)
Price &amp; Volume,volume,Yes,No,Yes,No,,YFinance (1.0)
Price &amp; Volume,avg_volume,Yes,No,Yes,No,,YFinance (1.0)
Price &amp; Volume,relative_volume,No,No,Yes,No,,FinViz (1.0)
Price &amp; Volume,change_percent,Yes,No,Yes,No,,YFinance (1.0)
Price &amp; Volume,gap,No,No,Yes,No,,FinViz (1.0)
Price &amp; Volume,52w_high,Yes,No,Yes,Yes,,YFinance (1.0)
Price &amp; Volume,52w_low,Yes,No,Yes,Yes,,YFinance (1.0)
Price &amp; Volume,pct_from_52w_high,No,No,Yes,No,,FinViz (1.0)
Price &amp; Volume,pct_from_52w_low,No,No,Yes,No,,FinViz (1.0)
Valuation Metrics,market_cap,Yes,Yes,Yes,Yes,,YFinance (1.0)
Valuation Metrics,enterprise_value,Yes,No,Yes,Yes,,YFinance (1.0)
Valuation Metrics,pe_ratio,Yes,No,Yes,Yes,,YFinance (1.0)
Valuation Metrics,forward_pe,Yes,No,Yes,Yes,,YFinance (1.0)
Valuation Metrics,peg_ratio,Yes,No,Yes,Yes,,YFinance (1.0)
Valuation Metrics,price_to_sales,Yes,No,Yes,Yes,,YFinance (1.0)
Valuation Metrics,price_to_book,Yes,No,Yes,Yes,,YFinance (1.0)
Valuation Metrics,price_to_cash,No,No,Yes,No,,FinViz (1.0)
Valuation Metrics,price_to_fcf,No,No,Yes,Yes,,FinViz (1.0)
